bands/lf,bands/uf,bands/s,bands/u,bands/v
163893800,163906300,Business Radio,Business Radio (Suppliers Light),1
163918800,163931300,Business Radio,Business Radio (Suppliers Light),1
163943800,163956300,Business Radio,Business Radio (Suppliers Light),1
163981300,163993800,Business Radio,Business Radio (Suppliers Light),1
163993800,164006300,Business Radio,Business Radio (Suppliers Light),1
164043750,164056250,Business Radio,Business Radio (Simple UK),1
164056250,164068750,Business Radio,Business Radio (Simple UK),1
164081300,164093800,Business Radio,Business Radio (Suppliers Light),1
164118800,164131300,Business Radio,Business Radio (Suppliers Light),1
164181300,164193800,Business Radio,Business Radio (Suppliers Light),1
164400000,169800000,N/A,Public Two-way Paging Systems,0
165050000,173087500,Business Radio,Business Radio (Area Defined),1
165050000,173087500,Business Radio,Business Radio (Technically Assigned),1
167193800,167206300,Business Radio,Business Radio (Suppliers Light),1
169006300,169018800,Business Radio,Business Radio (Suppliers Light),1
169081250,169093750,Business Radio,Business Radio (Simple UK),1
169131300,169143800,Business Radio,Business Radio (Suppliers Light),1
169156300,169168800,Business Radio,Business Radio (Suppliers Light),1
169181300,169193800,Business Radio,Business Radio (Suppliers Light),1
169306250,169318750,Business Radio,Business Radio (Simple UK),1
169400000,169475000,Licence exempt,Assistive Listening Devices,1
169400000,169475000,Licence exempt,Industrial/Commercial Telemetry and Tele-command,1
169400000,169475000,Licence exempt,Metering device,1
169400000,169812500,Licence exempt,Non-Specific Short Range Devices,1
169400000,169812500,N/A,CDMA Spread Spectrum Data Asset Tracking Systems,0
169475000,169487500,Licence exempt,Social Alarms,1
169487500,169587500,Licence exempt,Assistive Listening Devices,1
169487500,169587500,Licence exempt,Non-Specific Short Range Devices,1
169587500,169600000,Licence exempt,Social Alarms,1
169587500,169812500,Licence exempt,Non-Specific Short Range Devices,1
171000000,191000000,N/A,Common Base Station Systems,0
171993800,172006300,Business Radio,Business Radio (Suppliers Light),1
173043750,173056250,Business Radio,Business Radio (Simple UK),1
173056250,173068750,Business Radio,Business Radio (Simple UK),1
173081250,173093750,Business Radio,Business Radio (Simple UK),1
173181250,173193750,Licence exempt,"Mobile, Transportable and Lone worker Safety Alarms",1
173200000,173350000,Licence exempt,Industrial/Commercial Telemetry and Tele-command,1
173200000,173350000,Licence exempt,Non-Specific Short Range Devices,1
173212500,173237500,Licence exempt,Fixed Alarms,1
173325000,175075000,Licence exempt,Assistive Listening Devices,1
173587500,173600000,Licence exempt,Non-Specific Short Range Devices,1
173700000,174000000,Licence exempt,Medical and Biological Applications,1
173700000,175100000,Licence exempt,Railway Applications,1
173987500,174000000,Public sector,Business Radio (Police and Fire),1
174000000,208000000,N/A,Public Access Mobile Radio Systems,0
174000000,225000000,N/A,Public Mobile Data Systems,0
175150000,175350000,PMSE,Audio Distribution System,1
175150000,175350000,PMSE,Programme Making and Special Events (Fixed Site),1
175150000,175350000,PMSE,Programme Making and Special Events (Link),1
175150000,175350000,PMSE,Programme Making and Special Events (Low Power),1
175150000,175350000,PMSE,UK Wireless Microphone (Annual),1
175425000,175625000,PMSE,Audio Distribution System,1
175425000,175625000,PMSE,Programme Making and Special Events (Fixed Site),1
175425000,175625000,PMSE,Programme Making and Special Events (Link),1
175425000,175625000,PMSE,Programme Making and Special Events (Low Power),1
175425000,175625000,PMSE,UK Wireless Microphone (Annual),1
176300000,176500000,PMSE,Audio Distribution System,1
176300000,176500000,PMSE,Programme Making and Special Events (Fixed Site),1
176300000,176500000,PMSE,Programme Making and Special Events (Link),1
176300000,176500000,PMSE,Programme Making and Special Events (Low Power),1
176500000,176700000,PMSE,UK Wireless Microphone (Annual),1
176500000,176900000,PMSE,Audio Distribution System,1
176500000,176900000,PMSE,Programme Making and Special Events (Fixed Site),1
176500000,176900000,PMSE,Programme Making and Special Events (Link),1
176500000,176900000,PMSE,Programme Making and Special Events (Low Power),1
176900000,177100000,PMSE,Audio Distribution System,1
176900000,177100000,PMSE,Programme Making and Special Events (Fixed Site),1
176900000,177100000,PMSE,Programme Making and Special Events (Link),1
176900000,177100000,PMSE,Programme Making and Special Events (Low Power),1
177000000,191000000,N/A,CDMA Spread Spectrum Data Asset Tracking Systems,0
177512500,184487500,Business Radio,Business Radio (Area Defined),1
177512500,184487500,Business Radio,Business Radio (Technically Assigned),1
181693750,181806250,PMSE,Audio Distribution System,1
181693750,181806250,PMSE,Programme Making and Special Events (Fixed Site),1
181693750,181806250,PMSE,Programme Making and Special Events (Link),1
181693750,181806250,PMSE,Programme Making and Special Events (Low Power),1
184500000,185100000,PMSE,Audio Distribution System,1
184500000,185100000,PMSE,Programme Making and Special Events (Fixed Site),1
184500000,185100000,PMSE,Programme Making and Special Events (Link),1
184500000,185100000,PMSE,Programme Making and Special Events (Low Power),1
185000000,190000000,Mobile and Wireless broadband,Spectrum Access (EHF),1
185212500,191487500,Business Radio,Business Radio (Area Defined),1
185212500,191487500,Business Radio,Business Radio (Technically Assigned),1
189693750,189806250,PMSE,Audio Distribution System,1
189693750,189806250,PMSE,Programme Making and Special Events (Fixed Site),1
189693750,189806250,PMSE,Programme Making and Special Events (Link),1
189693750,189806250,PMSE,Programme Making and Special Events (Low Power),1
191600000,191800000,PMSE,Audio Distribution System,1
191600000,191800000,PMSE,Programme Making and Special Events (Fixed Site),1
191600000,191800000,PMSE,Programme Making and Special Events (Link),1
191600000,191800000,PMSE,Programme Making and Special Events (Low Power),1
191800000,192000000,PMSE,Audio Distribution System,1
191800000,192000000,PMSE,Programme Making and Special Events (Fixed Site),1
191800000,192000000,PMSE,Programme Making and Special Events (Link),1
191800000,192000000,PMSE,Programme Making and Special Events (Low Power),1
191800000,192000000,PMSE,UK Wireless Microphone (Annual),1
192000000,193100000,PMSE,Audio Distribution System,1
192000000,193100000,PMSE,Programme Making and Special Events (Fixed Site),1
192000000,193100000,PMSE,Programme Making and Special Events (Link),1
192000000,193100000,PMSE,Programme Making and Special Events (Low Power),1
192700000,193100000,PMSE,UK Wireless Microphone (Annual),1
192900000,193100000,PMSE,UK Wireless Microphone (Annual),1
193212500,199487500,Business Radio,Business Radio (Technically Assigned),1
199600000,199800000,PMSE,UK Wireless Microphone (Annual),1
199600000,200200000,PMSE,Audio Distribution System,1
199600000,200200000,PMSE,Programme Making and Special Events (Fixed Site),1
199600000,200200000,PMSE,Programme Making and Special Events (Link),1
199600000,200200000,PMSE,Programme Making and Special Events (Low Power),1
200000000,201100000,PMSE,Audio Distribution System,1
200000000,201100000,PMSE,Programme Making and Special Events (Fixed Site),1
200200000,200400000,PMSE,UK Wireless Microphone (Annual),1
200200000,200500000,PMSE,Programme Making and Special Events (Low Power),1
200200000,201100000,PMSE,Programme Making and Special Events (Link),1
200500000,200700000,PMSE,UK Wireless Microphone (Annual),1
201212500,207487500,Business Radio,Business Radio (Technically Assigned),1
207600000,210200000,PMSE,Audio Distribution System,1
207600000,210200000,PMSE,Programme Making and Special Events (Fixed Site),1
207600000,210200000,PMSE,Programme Making and Special Events (Link),1
207600000,210200000,PMSE,Programme Making and Special Events (Low Power),1
208200000,208400000,PMSE,UK Wireless Microphone (Annual),1
208500000,208700000,PMSE,UK Wireless Microphone (Annual),1
208900000,209100000,PMSE,UK Wireless Microphone (Annual),1
209000000,215000000,N/A,Common Base Station Systems,0
209100000,209300000,PMSE,UK Wireless Microphone (Annual),1
209500000,209700000,PMSE,UK Wireless Microphone (Annual),1
209700000,209900000,PMSE,UK Wireless Microphone (Annual),1
210792000,230000000,Broadcasting,Transmission of National and Local Radio Broadcasting Services (T-DAB),1
216000000,225000000,Public sector,Military,1
230000000,399900000,Public sector,Military,1
232000000,236000000,Space Science,Radio Astronomy,1
242987500,243012500,Aeronautical,Aircraft,1
242994000,243006000,Maritime,Maritime Radio (Suppliers and Demonstration),1
242994000,243006000,Maritime,Ship Portable Radio,1
242994000,243006000,Maritime,Ship Radio,1
326500000,328500000,Space Science,Radio Astronomy,1
328600000,335400000,Aeronautical,Aeronautical Navigation Aid Stations,1
380000000,385000000,Public sector,Business Radio (Public Safety),1
390000000,395000000,Public sector,Business Radio (Public Safety),1
399900000,400050000,Space Science,Radio Navigation Satellite Service,1
400050000,400150000,Space Science,Standard Frequency and Time Signal,1
400150000,401000000,,,0
400150000,401000000,Space Science,Space Operations Service,1
400150000,406000000,Public sector,Military,1
401000000,402000000,Licence exempt,Active Medical Implants,1
401000000,406000000,Space Science,Met Office,1
401000000,406000000,Space Science,Space Operations Service,1
402000000,405000000,Licence exempt,Active Medical Implants,1
405000000,406000000,Licence exempt,Active Medical Implants,1
406000000,406100000,Licence exempt,Personal Locator Beacon,1
406000000,406100000,Maritime,Maritime Radio (Suppliers and Demonstration),1
406000000,406100000,Maritime,Ship Portable Radio,1
406000000,406100000,Maritime,Ship Radio,1
406100000,410000000,Business Radio,Converted Spectrum Access,1
406100000,410000000,Public sector,Crown Recognised Spectrum Access,1
406100000,410000000,Public sector,Military,1
406100000,410000000,Space Science,Radio Astronomy,1
410000000,412000000,Business Radio,Converted Spectrum Access,1
410000000,412000000,Public sector,Crown Recognised Spectrum Access,1
410000000,420000000,,,0
410000000,430000000,N/A,Public Access Mobile Radio Systems,0
412000000,414000000,Mobile and Wireless broadband,Spectrum Access Arqiva and Airwave (Uplink),1
412000000,414000000,N/A,Spectrum Access (412-414 and 422-424 MHz),0
414000000,420000000,Business Radio,Converted Spectrum Access,1
414000000,420000000,Public sector,Crown Recognised Spectrum Access,1
414000000,420000000,Public sector,Military,1
420000000,422000000,Business Radio,Converted Spectrum Access,1
420000000,422000000,Public sector,Crown Recognised Spectrum Access,1
422000000,424000000,Mobile and Wireless broadband,Spectrum Access Arqiva and Airwave (Downlink),1
422000000,424000000,N/A,Spectrum Access (412-414 and 422-424 MHz),0
424000000,425000000,Business Radio,Converted Spectrum Access,1
424000000,425000000,Public sector,Crown Recognised Spectrum Access,1
424000000,450000000,Public sector,Military,1
425000000,450000000,N/A,Public Mobile Data Systems,0
425012500,429475000,Business Radio,Business Radio (Area Defined),1
425012500,429475000,Business Radio,Business Radio (Technically Assigned),1
425312500,425562500,PMSE,Audio Distribution System,1
425312500,425562500,PMSE,Programme Making and Special Events (Fixed Site),1
425312500,425562500,PMSE,Programme Making and Special Events (Link),1
425312500,425562500,PMSE,Programme Making and Special Events (Low Power),1
427762500,428012500,PMSE,Audio Distribution System,1
427762500,428012500,PMSE,Programme Making and Special Events (Fixed Site),1
427762500,428012500,PMSE,Programme Making and Special Events (Link),1
427762500,428012500,PMSE,Programme Making and Special Events (Low Power),1
429000000,430000000,Business Radio,Converted Spectrum Access,1
429000000,430000000,Public sector,Crown Recognised Spectrum Access,1
430000000,440000000,,,0
430000000,440000000,Amateur,Amateur Radio Foundation Licence,1
430000000,440000000,Amateur,Amateur Radio Full Licence,1
430000000,440000000,Amateur,Amateur Radio Intermediate Licence,1
431006250,431993750,Business Radio,Business Radio (Area Defined),1
431006250,431993750,Business Radio,Business Radio (Technically Assigned),1
433050000,434790000,Licence exempt,Model Control,1
433050000,434790000,Licence exempt,Non-Specific Short Range Devices,1
440000000,449000000,N/A,Common Base Station Systems,0
440012500,443975000,Business Radio,Business Radio (Area Defined),1
440012500,443975000,Business Radio,Business Radio (Technically Assigned),1
442262500,442512500,PMSE,Audio Distribution System,1
442262500,442512500,PMSE,Programme Making and Special Events (Fixed Site),1
442262500,442512500,PMSE,Programme Making and Special Events (Link),1
442262500,442512500,PMSE,Programme Making and Special Events (Low Power),1
445512500,449725000,Business Radio,Business Radio (Area Defined),1
445512500,449725000,Business Radio,Business Radio (Technically Assigned),1
446000000,446100000,Licence exempt,PMR 446,1
446100000,446200000,Licence exempt,Digital PMR 446,1
446425000,447512500,PMSE,Audio Distribution System,1
446425000,447512500,PMSE,Programme Making and Special Events (Fixed Site),1
446425000,447512500,PMSE,Programme Making and Special Events (Link),1
446425000,447512500,PMSE,Programme Making and Special Events (Low Power),1
449306250,449318750,Business Radio,Business Radio (Simple UK),1
449393750,449406250,Business Radio,Business Radio (Simple UK),1
449468750,449481250,Business Radio,Business Radio (Simple UK),1
450000000,453000000,Public sector,Business Radio (Police and Fire),1
450000000,470000000,N/A,Public Mobile Data Systems,0
451506250,451781250,Business Radio,Business Radio (Simple Site),1
451506250,458781250,Business Radio,Business Radio (Simple Site),1
453012500,454987500,Business Radio,Business Radio (Area Defined),1
453012500,454987500,Business Radio,Business Radio (Technically Assigned),1
453681300,453693800,Business Radio,Business Radio (Suppliers Light),1
454412500,454437500,Business Radio,Business Radio (Suppliers Light),1
454987500,455475000,PMSE,Audio Distribution System,1
454987500,455475000,PMSE,Programme Making and Special Events (Fixed Site),1
454987500,455475000,PMSE,Programme Making and Special Events (Link),1
454987500,455475000,PMSE,Programme Making and Special Events (Low Power),1
455475000,455850000,Business Radio,Business Radio (Area Defined),1
455475000,455850000,Business Radio,Business Radio (Technically Assigned),1
455875000,456000000,Public sector,Business Radio (Police and Fire),1
456006300,456018800,Business Radio,Business Radio (Suppliers Light),1
456331300,456343800,Business Radio,Business Radio (Suppliers Light),1
456381300,456393800,Business Radio,Business Radio (Suppliers Light),1
456456300,456468800,Business Radio,Business Radio (Suppliers Light),1
456518750,456531250,Maritime,Ship Radio,1
456556300,456568800,Business Radio,Business Radio (Suppliers Light),1
456681300,456693800,Business Radio,Business Radio (Suppliers Light),1
456856300,456868800,Business Radio,Business Radio (Suppliers Light),1
456900000,457100000,Licence exempt,Non-Specific Short Range Devices,1
456918800,456931300,Business Radio,Business Radio (Suppliers Light),1
456956300,456968800,Business Radio,Business Radio (Suppliers Light),1
456981300,456993800,Business Radio,Business Radio (Suppliers Light),1
457000000,457250000,Public sector,Business Radio (Police and Fire),1
457250000,457475000,PMSE,Audio Distribution System,1
457250000,457475000,PMSE,Programme Making and Special Events (Fixed Site),1
457250000,457475000,PMSE,Programme Making and Special Events (Link),1
457250000,457475000,PMSE,Programme Making and Special Events (Low Power),1
457475000,457500000,Public sector,Business Radio (Police and Fire),1
457500000,458500000,Fixed Links,Scanning Telemetry (National),1
457500000,458500000,Fixed Links,Scanning Telemetry (Shared),1
457512500,457537500,Aeronautical,Aircraft,1
457518800,457531250,Maritime,Maritime Radio (Suppliers and Demonstration),1
457518800,457531300,Maritime,Ship Radio,1
457531300,457543750,Maritime,Maritime Radio (Suppliers and Demonstration),1
457531300,457543750,Maritime,Ship Radio,1
457531300,457543800,Aeronautical,Aircraft,1
457537500,457562500,Aeronautical,Aircraft,1
457543800,457556250,Maritime,Maritime Radio (Suppliers and Demonstration),1
457543800,457556250,Maritime,Ship Radio,1
457556300,457568750,Maritime,Maritime Radio (Suppliers and Demonstration),1
457556300,457568750,Maritime,Ship Radio,1
457556300,457568800,Aeronautical,Aircraft,1
457562500,457587500,Aeronautical,Aircraft,1
457568800,457581250,Maritime,Maritime Radio (Suppliers and Demonstration),1
457568800,457581250,Maritime,Ship Radio,1
458500000,458950000,Licence exempt,Industrial/Commercial Telemetry and Tele-command,1
458500000,459500000,Licence exempt,Model Control,1
458818750,458831250,Licence exempt,Fixed Alarms,1
458831250,458843750,Licence exempt,"Mobile, Transportable and Lone worker Safety Alarms",1
458900000,458900001,Licence exempt,Vehicle Paging Alarms,1
458962500,459100000,Licence exempt,Medical and Biological Applications,1
459000000,459500000,Business Radio,Business Radio (Simple Site),1
459493750,459506250,Public sector,Business Radio (Police and Fire),1
459506250,459518750,Public sector,Business Radio (Police and Fire),1
459525000,460496880,Business Radio,Business Radio (Area Defined),1
459525000,460496880,Business Radio,Business Radio (Technically Assigned),1
459531250,459543750,Public sector,Business Radio (Police and Fire),1
460181300,460193800,Business Radio,Business Radio (Suppliers Light),1
460500000,460750000,Public sector,Business Radio (Police and Fire),1
460759380,462487500,Business Radio,Business Radio (Area Defined),1
460759380,462487500,Business Radio,Business Radio (Technically Assigned),1
461231250,461256250,PMSE,Audio Distribution System,1
461231250,461256250,PMSE,Programme Making and Special Events (Fixed Site),1
461231250,461256250,PMSE,Programme Making and Special Events (Link),1
461231250,461256250,PMSE,Programme Making and Special Events (Low Power),1
461412500,461437500,Business Radio,Business Radio (Suppliers Light),1
461506300,461518800,Business Radio,Business Radio (Suppliers Light),1
461831300,461843800,Business Radio,Business Radio (Suppliers Light),1
461881300,461893800,Business Radio,Business Radio (Suppliers Light),1
461956300,461968800,Business Radio,Business Radio (Suppliers Light),1
462056300,462068800,Business Radio,Business Radio (Suppliers Light),1
462181300,462193800,Business Radio,Business Radio (Suppliers Light),1
462356300,462368800,Business Radio,Business Radio (Suppliers Light),1
462418800,462431300,Business Radio,Business Radio (Suppliers Light),1
462456300,462468800,Business Radio,Business Radio (Suppliers Light),1
462468800,462481300,Business Radio,Business Radio (Suppliers Light),1
462481300,462493800,Business Radio,Business Radio (Suppliers Light),1
462500000,462750000,Public sector,Business Radio (Police and Fire),1
462750000,463000000,PMSE,Audio Distribution System,1
462750000,463000000,PMSE,Programme Making and Special Events (Fixed Site),1
462750000,463000000,PMSE,Programme Making and Special Events (Link),1
462750000,463000000,PMSE,Programme Making and Special Events (Low Power),1
463000000,464000000,Fixed Links,Scanning Telemetry (National),1
463000000,464000000,Fixed Links,Scanning Telemetry (Shared),1
464000000,466062500,Public sector,Business Radio (Police and Fire),1
466087500,467250000,Public sector,Business Radio (Police and Fire),1
467262500,469875000,PMSE,Audio Distribution System,1
467262500,469875000,PMSE,Programme Making and Special Events (Fixed Site),1
467262500,469875000,PMSE,Programme Making and Special Events (Link),1
467262500,469875000,PMSE,Programme Making and Special Events (Low Power),1
467512500,467537500,Aeronautical,Aircraft,1
467518800,467531250,Maritime,Maritime Radio (Suppliers and Demonstration),1
467518800,467531250,Maritime,Ship Radio,1
467531300,467543750,Maritime,Maritime Radio (Suppliers and Demonstration),1
467531300,467543750,Maritime,Ship Radio,1
467531300,467543800,Aeronautical,Aircraft,1
467537500,467562500,Aeronautical,Aircraft,1
467543800,467556250,Maritime,Maritime Radio (Suppliers and Demonstration),1
467543800,467556250,Maritime,Ship Radio,1
467556300,467568750,Maritime,Maritime Radio (Suppliers and Demonstration),1
467556300,467568750,Maritime,Ship Radio,1
467556300,467568800,Aeronautical,Aircraft,1
467562500,467587500,Aeronautical,Aircraft,1
467568800,467581250,Maritime,Maritime Radio (Suppliers and Demonstration),1
467568800,467581250,Maritime,Ship Radio,1
469875000,470000000,Public sector,Business Radio (Police and Fire),1
470000000,550000000,,,0
470000000,550000000,Broadcasting,Terrestrial TV Broadcast Transmission (UHF Digital),1
470000000,606000000,PMSE,Audio Distribution System,1
470000000,606000000,PMSE,Programme Making and Special Events (Fixed Site),1
470000000,606000000,PMSE,Programme Making and Special Events (Link),1
470000000,606000000,PMSE,Programme Making and Special Events (Low Power),1
470000000,694000000,Broadcasting,Terrestrial TV Broadcast Transmission (UHF Digital),1
470000000,694000000,Licence exempt,White Space Devices (WSD),1
542000000,550000000,Broadcasting,Spectrum Access Cube Interactive (Cardiff),1
542000000,550000000,N/A,Spectrum Access 542 - 550 MHz (Cardiff),0
550000000,606000000,Broadcasting,Spectrum Access Arqiva,1
550000000,606000000,Broadcasting,Terrestrial TV Broadcast Transmission (UHF Digital),1
590000000,598000000,Aeronautical,Aeronautical Radar,1
598000000,606000000,,,0
606000000,614000000,PMSE,UK Wireless Microphone (Annual),1
606000000,614000000,PMSE,UK Wireless Microphone (Biennial),1
606600000,606800000,PMSE,Audio Distribution System,1
606600000,606800000,PMSE,Programme Making and Special Events (Fixed Site),1
606600000,606800000,PMSE,Programme Making and Special Events (Link),1
606600000,606800000,PMSE,Programme Making and Special Events (Low Power),1
606900000,607100000,PMSE,Audio Distribution System,1
606900000,607100000,PMSE,Programme Making and Special Events (Fixed Site),1
606900000,607100000,PMSE,Programme Making and Special Events (Link),1
606900000,607100000,PMSE,Programme Making and Special Events (Low Power),1
614000000,694000000,PMSE,Audio Distribution System,1
614000000,694000000,PMSE,Programme Making and Special Events (Fixed Site),1
614000000,694000000,PMSE,Programme Making and Special Events (Link),1
614000000,694000000,PMSE,Programme Making and Special Events (Low Power),1
703000000,713000000,Mobile and Wireless broadband,Spectrum Access Telefonica (Uplink),1
703000000,733000000,Mobile and Wireless Broadband,Spectrum Access (700 MHz),1
713000000,723000000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1
723000000,733000000,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1
738000000,758000000,Mobile and Wireless Broadband,Spectrum Access (700 MHz),1
758000000,766000000,,,0
758000000,766000000,Broadcasting,Spectrum Access Channel M Television (Manchester),1
758000000,766000000,N/A,Spectrum Access 758 - 766 MHz,0
758000000,768000000,Mobile and Wireless broadband,Spectrum Access Telefonica (Downlink),1
758000000,788000000,Mobile and Wireless Broadband,Spectrum Access (700 MHz),1
778000000,788000000,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1
790000000,821000000,N/A,Public Wireless Networks (2G Cellular Operator - Guernsey),0
790000000,821000000,N/A,Public Wireless Networks (2G Cellular Operator - Isle of Man),0
790000000,821000000,N/A,Public Wireless Networks (2G Cellular Operator - Jersey),0
790000000,821000000,N/A,Spectrum Access (800 MHz and 2.6 GHz),0
791000000,796000000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Downlink),1
791000000,796000000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Downlink),1
791000000,821000000,,,0
791000000,821000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
796000000,801000000,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1
801000000,811000000,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink),1
811000000,821000000,Mobile and Wireless broadband,Spectrum Access Telefonica (Downlink),1
823000000,832000000,PMSE,UK Wireless Microphone (Annual),1
823000000,832000000,PMSE,UK Wireless Microphone (Biennial),1
832000000,837000000,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1
832000000,862000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
832000000,862000000,N/A,Public Wireless Networks (2G Cellular Operator - Guernsey),0
832000000,862000000,N/A,Public Wireless Networks (2G Cellular Operator - Isle of Man),0
832000000,862000000,N/A,Public Wireless Networks (2G Cellular Operator - Jersey),0
832000000,862000000,N/A,Spectrum Access (800 MHz and 2.6 GHz),0
837000000,842000000,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1
842000000,852000000,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink),1
852000000,862000000,Mobile and Wireless broadband,Spectrum Access Telefonica (Uplink),1
862000000,863000000,Licence exempt,Non-Specific Short Range Devices,1
862000000,863000000,Public sector,Business Radio (Police and Fire),1
863000000,865000000,Licence exempt,High Duty Cycle or Continuous Transmission Devices,1
863000000,865000000,Licence exempt,Non-Specific Short Range Devices,1
863000000,865000000,Licence exempt,Radio Microphones,1
863000000,865000000,Licence exempt,Wireless audio/multimedia,1
864100000,868100000,Licence exempt,Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT),1
865000000,865600000,Licence exempt,Radio Frequency Identification (RFID),1
865000000,870000000,Licence exempt,Non-Specific Short Range Devices,1
865600000,867600000,Licence exempt,Radio Frequency Identification (RFID),1
866000000,868000000,N/A,CDMA Spread Spectrum Data Asset Tracking Systems,0
867600000,868000000,Licence exempt,Radio Frequency Identification (RFID),1
868600000,868700000,Licence exempt,Alarms,1
868600000,868700000,Licence exempt,Low Duty Cycle or High Reliability Devices,1
869200000,869250000,Licence exempt,Social Alarms,1
869200000,869400000,Licence exempt,Low Duty Cycle or High Reliability Devices,1
869250000,869300000,Licence exempt,Alarms,1
869300000,869400000,Licence exempt,Alarms,1
869650000,869700000,Licence exempt,Alarms,1
869650000,869700000,Licence exempt,Low Duty Cycle or High Reliability Devices,1
870000000,871000000,N/A,Public Two-way Paging Systems,0
870000000,873000000,Licence exempt,High Duty Cycle Network Relay Points (NPR),1
870000000,874400000,Licence exempt,Non-Specific Short Range Devices,1
870000000,875800000,Licence exempt,Transport and Traffic Telematics,1
873000000,875600000,Licence exempt,Networked Meter Reading Sensors and Actuators,1
873000000,876000000,Licence exempt,Non-Specific Short Range Devices,1
876000000,880000000,Business Radio,Business Radio (GSM-R Railway Use),1
880000000,915000000,N/A,Cellular Radiotelephone Systems (2G - GSM),0
880000000,915000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
880000000,915000000,N/A,Public Wireless Networks (2G Cellular Operator - Guernsey),0
880000000,915000000,N/A,Public Wireless Networks (2G Cellular Operator - Isle of Man),0
880000000,915000000,N/A,Public Wireless Networks (2G Cellular Operator - Jersey),0
880000000,915000000,N/A,Public Wireless Networks (2G/3G Cellular Operator),0
880100000,885100000,Mobile and Wireless broadband,PWN Vodafone (Uplink),1
880100000,914900000,N/A,Cellular Radiotelephone Systems (3G - UMTS/PCN),0
885100000,890100000,Mobile and Wireless broadband,PWN Telefonica UK (Uplink),1
888000000,889000000,Licence exempt,Radio Determination,1
890000000,915000000,Public sector,Military,1
890100000,902500000,Mobile and Wireless broadband,PWN Vodafone (Uplink),1
902500000,914900000,Mobile and Wireless broadband,PWN Telefonica UK (Uplink),1
915000000,917000000,Space Science,Met Office,1
915000000,918000000,Licence exempt,Non-Specific Short Range Devices,1
916100000,916500000,Licence exempt,Assistive Listening Devices,1
916100000,918900000,Licence exempt,Radio Frequency Identification (RFID),1
917300000,917700000,Licence exempt,Assistive Listening Devices,1
917400000,919400000,Licence exempt,Wideband Data Transmission Devices,1
918000000,921000000,Licence exempt,Non-Specific Short Range Devices,1
918500000,918900000,Licence exempt,Assistive Listening Devices,1
919700000,920100000,Licence exempt,Assistive Listening Devices,1
919700000,920100000,Licence exempt,Radio Frequency Identification (RFID),1
921000000,925000000,Business Radio,Business Radio (GSM-R Railway Use),1
925000000,942000000,Public sector,Military,1
925000000,960000000,,,0
925000000,960000000,N/A,Cellular Radiotelephone Systems (2G - GSM),0
925000000,960000000,N/A,Cellular Radiotelephone Systems (4G - LTE/WiMAX),0
925000000,960000000,N/A,Public Wireless Networks (2G Cellular Operator - Guernsey),0
925000000,960000000,N/A,Public Wireless Networks (2G Cellular Operator - Isle of Man),0
925000000,960000000,N/A,Public Wireless Networks (2G Cellular Operator - Jersey),0
925000000,960000000,N/A,Public Wireless Networks (2G/3G Cellular Operator),0
925100000,930100000,Mobile and Wireless broadband,PWN Vodafone (Downlink),1
930100000,935100000,Mobile and Wireless broadband,PWN Telefonica UK (Downlink),1
935100000,947500000,Mobile and Wireless broadband,PWN Vodafone (Downlink),1
947500000,955100000,Mobile and Wireless broadband,PWN Vodafone (Downlink),1
960000000,1164000000,PMSE,Programme Making and Special Events (Low Power),1
960000000,1215000000,Aeronautical,Aeronautical Navigation Aid Stations,1
960000000,1215000000,Aeronautical,Aircraft,1
960000000,1215000000,Public sector,Military,1
962000000,970000000,Space Science,Radio Astronomy,1
1025000000,1035000000,Aeronautical,Aeronautical Radar,1
1085000000,1095000000,Aeronautical,Aeronautical Radar,1
1164000000,1215000000,Satellite,Global Navigation Satellite System (GNSS) Repeaters,1
1164000000,1215000000,Space Science,Radio Navigation Satellite Service,1
1215000000,1240000000,Space Science,Earth Exploration Satellite Service (active),1
1215000000,1240000000,Space Science,Radio Navigation Satellite Service,1
1215000000,1240000000,Space Science,Space Research Service (Active),1
1215000000,1300000000,Satellite,Global Navigation Satellite System (GNSS) Repeaters,1
1215000000,1350000000,Aeronautical,Aeronautical Radar,1
1215000000,1375000000,Public sector,Military,1
1240000000,1260000000,Space Science,Earth Exploration Satellite Service (active),1
1240000000,1260000000,Space Science,Radio Navigation Satellite Service,1
1240000000,1260000000,Space Science,Space Research Service (Active),1
1240000000,1325000000,Amateur,Amateur Radio Full Licence,1
1240000000,1325000000,Amateur,Amateur Radio Intermediate Licence,1
1260000000,1300000000,Space Science,Earth Exploration Satellite Service (active),1
